semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
3,50,0.9,0.15,250,2876.896137800002,61,3053,"[21, 5, 2, 32, 37, 43, 19, 14, 1, 6, 11, 42, 17, 41, 9, 48, 31, 3, 29, 10, 36, 33, 18, 22, 0, 45, 13, 7, 35, 16, 15, 49, 26, 25, 30, 12, 4, 28, 27, 39, 40, 20, 46, 8, 34, 24, 47, 44, 23, 38]"
4,50,0.9,0.15,250,2924.4925387999974,161,3052,"[17, 21, 7, 48, 32, 45, 14, 37, 3, 43, 42, 41, 18, 24, 2, 28, 12, 35, 29, 1, 15, 19, 5, 22, 36, 27, 33, 46, 10, 4, 16, 34, 11, 31, 8, 39, 13, 30, 9, 49, 40, 6, 0, 20, 26, 25, 44, 23, 47, 38]"
1,50,0.9,0.15,250,2924.6178909999944,221,3046,"[17, 21, 41, 43, 32, 28, 1, 6, 19, 7, 35, 30, 42, 48, 14, 37, 39, 12, 18, 27, 5, 13, 3, 31, 29, 4, 45, 24, 15, 49, 36, 40, 22, 16, 33, 46, 20, 11, 0, 2, 10, 25, 8, 26, 34, 9, 47, 44, 23, 38]"
2,50,0.9,0.15,250,2926.8608805999975,21,3057,"[21, 41, 32, 48, 14, 29, 36, 19, 18, 7, 12, 35, 45, 17, 43, 0, 42, 40, 49, 30, 13, 1, 15, 37, 3, 5, 6, 22, 2, 27, 10, 28, 16, 34, 8, 33, 46, 11, 39, 24, 47, 4, 31, 20, 9, 26, 25, 44, 23, 38]"
6,50,0.9,0.15,250,2946.7211080999914,181,3067,"[17, 21, 43, 35, 45, 13, 5, 24, 34, 19, 2, 37, 12, 41, 48, 14, 30, 28, 31, 4, 11, 36, 1, 42, 33, 49, 46, 39, 32, 40, 8, 0, 15, 10, 44, 3, 7, 29, 27, 22, 16, 6, 9, 20, 26, 25, 47, 18, 23, 38]"
5,50,0.9,0.15,250,2948.4304499999926,161,3068,"[21, 18, 43, 32, 42, 5, 19, 35, 45, 13, 7, 17, 48, 39, 14, 29, 1, 27, 22, 31, 33, 9, 20, 24, 15, 37, 30, 46, 12, 16, 10, 2, 26, 11, 41, 4, 8, 0, 47, 3, 34, 28, 40, 36, 49, 25, 6, 23, 44, 38]"
