semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,200,0.9,0.15,500,712.2242402999545,11,1278,"[16, 8, 14, 5, 12, 10, 4, 13, 0, 15, 2, 6, 7, 18, 17, 3, 1, 9, 19, 11]"
2,200,0.9,0.15,500,680.2400474999449,6,1278,"[8, 14, 5, 18, 0, 1, 7, 2, 13, 16, 3, 4, 17, 15, 6, 10, 12, 9, 19, 11]"
3,200,0.9,0.15,500,698.6976002999581,1,1278,"[8, 16, 14, 0, 2, 4, 5, 3, 7, 1, 6, 10, 12, 18, 17, 15, 13, 9, 19, 11]"
4,200,0.9,0.15,500,738.8672321999911,6,1278,"[8, 14, 5, 16, 2, 3, 18, 12, 17, 6, 10, 4, 7, 15, 13, 1, 0, 9, 19, 11]"
5,200,0.9,0.15,500,767.7496963000158,16,1278,"[8, 14, 13, 16, 5, 3, 18, 7, 2, 12, 10, 17, 15, 4, 6, 0, 1, 9, 19, 11]"
