semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,80,0.9,0.15,200,15.0528137999936,177,4313,"[34, 46, 23, 7, 42, 33, 10, 31, 14, 38, 11, 44, 3, 45, 0, 13, 15, 1, 5, 32, 35, 4, 28, 40, 48, 26, 30, 16, 18, 47, 25, 27, 29, 6, 36, 43, 22, 37, 19, 12, 41, 49, 9, 17, 8, 20, 39, 21, 24, 2]"
2,80,0.9,0.15,200,14.983334799995646,65,4257,"[34, 27, 44, 19, 29, 23, 38, 21, 37, 49, 1, 3, 33, 20, 41, 45, 30, 16, 11, 31, 47, 4, 22, 46, 8, 35, 36, 28, 26, 12, 32, 42, 6, 14, 7, 15, 48, 18, 25, 39, 5, 13, 43, 9, 17, 10, 0, 40, 24, 2]"
3,80,0.9,0.15,200,12.464971099980175,142,4388,"[34, 33, 37, 16, 38, 36, 21, 10, 22, 25, 9, 5, 11, 42, 7, 43, 39, 40, 35, 12, 15, 14, 18, 30, 49, 20, 48, 0, 6, 4, 3, 44, 13, 45, 28, 26, 8, 23, 41, 1, 29, 31, 24, 46, 47, 19, 32, 2, 27, 17]"
4,80,0.9,0.15,200,13.528916700044647,118,4309,"[34, 30, 5, 49, 27, 9, 41, 12, 44, 36, 42, 4, 1, 46, 33, 40, 7, 43, 18, 35, 31, 48, 28, 26, 37, 16, 19, 10, 38, 45, 8, 23, 22, 17, 25, 6, 3, 14, 13, 2, 15, 0, 47, 20, 21, 39, 32, 24, 29, 11]"
5,80,0.9,0.15,200,16.222256399982143,155,4353,"[38, 19, 30, 0, 40, 43, 23, 44, 11, 6, 13, 4, 48, 1, 31, 26, 35, 14, 46, 49, 41, 21, 25, 10, 22, 47, 28, 17, 18, 36, 39, 37, 45, 7, 12, 34, 42, 15, 3, 32, 29, 5, 27, 20, 16, 33, 9, 24, 2, 8]"
6,80,0.9,0.15,200,10.801399599993601,105,4366,"[11, 16, 23, 38, 36, 48, 14, 28, 10, 37, 49, 46, 4, 26, 22, 13, 41, 34, 17, 40, 33, 3, 27, 18, 35, 47, 0, 32, 9, 19, 30, 7, 29, 43, 44, 1, 24, 45, 42, 25, 31, 20, 2, 5, 15, 6, 39, 8, 21, 12]"
7,80,0.9,0.15,200,10.547521899978165,125,4352,"[32, 38, 19, 11, 22, 21, 16, 15, 1, 4, 0, 34, 10, 28, 29, 36, 26, 42, 37, 13, 40, 5, 35, 25, 44, 17, 30, 6, 45, 14, 43, 49, 48, 7, 3, 20, 18, 33, 46, 27, 12, 23, 41, 47, 8, 9, 24, 31, 39, 2]"
8,80,0.9,0.15,200,10.534689000051003,118,4314,"[11, 31, 41, 42, 9, 7, 34, 15, 16, 1, 46, 4, 48, 36, 37, 19, 0, 5, 13, 14, 25, 20, 39, 30, 38, 2, 18, 35, 6, 33, 32, 8, 44, 45, 40, 28, 47, 23, 3, 10, 29, 26, 49, 17, 27, 22, 21, 12, 43, 24]"
9,80,0.9,0.15,200,10.952416899963282,152,4323,"[11, 16, 30, 19, 38, 49, 25, 0, 31, 9, 26, 4, 28, 5, 42, 47, 46, 27, 34, 45, 44, 29, 15, 13, 36, 7, 48, 23, 14, 22, 39, 1, 3, 20, 12, 6, 35, 40, 21, 10, 33, 37, 18, 43, 8, 2, 41, 32, 17, 24]"
10,80,0.9,0.15,200,11.08798620000016,192,4362,"[11, 30, 21, 29, 5, 4, 38, 39, 28, 43, 33, 37, 12, 46, 15, 40, 19, 14, 13, 16, 26, 3, 44, 6, 1, 22, 35, 32, 7, 34, 31, 27, 9, 41, 45, 47, 23, 25, 8, 20, 10, 0, 18, 48, 36, 17, 42, 49, 2, 24]"
