semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,150,0.9,0.1,700,196.78378460003296,121,1360,"[5, 18, 9, 6, 14, 2, 11, 17, 0, 15, 19, 4, 16, 13, 1, 8, 12, 10, 3, 7]"
2,150,0.9,0.2,700,191.66468879999593,41,1360,"[5, 18, 9, 6, 14, 16, 8, 0, 19, 12, 11, 3, 15, 4, 1, 17, 10, 2, 7, 13]"
3,150,0.9,0.1,700,393.214419499971,401,1360,"[5, 18, 9, 6, 14, 16, 11, 10, 8, 0, 12, 13, 15, 17, 2, 19, 3, 4, 7, 1]"
4,150,0.9,0.2,700,419.6453263000003,411,1360,"[5, 9, 16, 6, 14, 11, 2, 7, 19, 18, 8, 10, 12, 3, 0, 17, 4, 1, 15, 13]"
5,150,0.9,0.1,700,408.43808069999795,31,1360,"[5, 18, 9, 6, 14, 16, 8, 0, 11, 15, 4, 3, 7, 17, 10, 19, 13, 2, 1, 12]"
6,150,0.9,0.2,700,425.0676236000145,161,1360,"[5, 18, 9, 6, 14, 11, 16, 2, 8, 10, 13, 19, 0, 7, 15, 4, 17, 12, 3, 1]"
7,150,0.9,0.1,700,341.38809239998227,311,1359,"[5, 9, 16, 6, 18, 14, 13, 17, 19, 2, 4, 11, 15, 10, 8, 0, 12, 3, 1, 7]"
8,150,0.9,0.2,700,321.5308777000173,141,1359,"[5, 9, 16, 6, 18, 14, 2, 8, 11, 10, 15, 0, 17, 13, 19, 3, 12, 4, 1, 7]"
9,150,0.9,0.1,700,218.24318590003531,21,1360,"[5, 18, 9, 6, 14, 16, 8, 19, 13, 12, 10, 17, 0, 7, 4, 15, 3, 2, 11, 1]"
10,150,0.9,0.2,700,197.56562959996518,21,1360,"[5, 18, 9, 6, 14, 16, 8, 11, 13, 7, 15, 19, 2, 17, 3, 1, 0, 12, 4, 10]"
11,150,0.9,0.1,700,323.66061299998546,611,1360,"[5, 18, 9, 6, 14, 2, 8, 16, 3, 12, 19, 0, 11, 1, 15, 4, 17, 13, 7, 10]"
12,150,0.9,0.2,700,308.7653561999905,81,1360,"[5, 18, 9, 6, 14, 11, 12, 2, 8, 0, 16, 19, 7, 1, 4, 13, 17, 10, 15, 3]"
13,150,0.9,0.1,700,302.70507259998703,621,1360,"[5, 18, 9, 6, 14, 11, 15, 10, 8, 12, 16, 19, 0, 2, 4, 7, 3, 1, 13, 17]"
14,150,0.9,0.2,700,520.431793500029,221,1360,"[5, 9, 16, 6, 14, 15, 19, 12, 8, 10, 2, 11, 18, 4, 7, 17, 13, 0, 1, 3]"
15,150,0.9,0.1,700,701.8812243000139,191,1359,"[5, 9, 16, 6, 18, 19, 8, 11, 2, 14, 10, 17, 12, 4, 7, 0, 15, 13, 3, 1]"
16,150,0.9,0.2,700,404.84831590001704,151,1360,"[5, 18, 9, 6, 14, 15, 11, 0, 2, 12, 19, 3, 17, 16, 8, 13, 4, 7, 1, 10]"
17,150,0.9,0.1,700,350.10722279996844,311,1360,"[5, 18, 9, 6, 14, 11, 15, 8, 2, 4, 16, 19, 0, 17, 13, 10, 7, 1, 12, 3]"
18,150,0.9,0.2,700,332.1360812000348,141,1360,"[5, 18, 9, 6, 14, 2, 11, 16, 8, 13, 0, 19, 4, 12, 7, 3, 15, 1, 17, 10]"
19,150,0.9,0.1,700,351.11323399998946,351,1360,"[5, 18, 9, 6, 14, 16, 19, 3, 2, 8, 17, 10, 0, 12, 4, 7, 1, 15, 13, 11]"
20,150,0.9,0.2,700,331.8430501999683,121,1360,"[5, 18, 9, 6, 14, 12, 11, 1, 16, 19, 0, 10, 15, 4, 17, 8, 2, 13, 7, 3]"
