semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,120,0.9,0.15,400,34.66332260001218,192,4319,"[42, 45, 16, 15, 13, 26, 44, 11, 29, 35, 9, 5, 31, 43, 38, 27, 14, 7, 17, 32, 41, 46, 37, 1, 49, 22, 48, 33, 18, 30, 39, 12, 36, 19, 0, 6, 23, 4, 8, 25, 28, 47, 21, 10, 3, 20, 34, 40, 24, 2]"
2,120,0.9,0.15,400,31.817539499956183,345,4304,"[34, 46, 28, 5, 14, 38, 39, 37, 0, 29, 10, 16, 32, 4, 13, 11, 1, 44, 19, 33, 26, 43, 48, 9, 6, 36, 7, 21, 12, 42, 49, 25, 22, 41, 20, 3, 35, 31, 30, 15, 8, 40, 47, 18, 45, 17, 23, 2, 27, 24]"
3,120,0.9,0.15,400,27.66159599996172,336,4331,"[16, 42, 30, 21, 4, 5, 19, 37, 38, 29, 8, 11, 45, 32, 44, 25, 41, 2, 43, 47, 14, 34, 33, 6, 12, 18, 1, 3, 26, 39, 28, 46, 7, 22, 13, 24, 0, 23, 35, 48, 31, 10, 49, 20, 17, 9, 15, 40, 27, 36]"
4,120,0.9,0.15,400,30.306341200019233,393,4255,"[42, 30, 44, 13, 37, 38, 34, 36, 5, 19, 16, 7, 35, 14, 41, 0, 2, 4, 43, 21, 40, 9, 15, 45, 33, 46, 47, 32, 22, 25, 6, 24, 12, 29, 31, 27, 1, 39, 48, 26, 20, 49, 10, 28, 23, 17, 3, 11, 18, 8]"
5,120,0.9,0.15,400,27.66942089999793,305,4375,"[34, 42, 38, 20, 14, 19, 15, 11, 43, 3, 46, 28, 13, 4, 5, 7, 18, 32, 2, 30, 12, 1, 23, 39, 22, 29, 49, 41, 0, 8, 45, 10, 16, 44, 35, 9, 31, 37, 48, 24, 47, 17, 36, 21, 25, 33, 27, 6, 26, 40]"
6,120,0.9,0.15,400,28.873224599985406,256,4364,"[41, 11, 9, 34, 46, 30, 36, 25, 44, 37, 5, 43, 23, 48, 19, 32, 16, 7, 47, 10, 39, 40, 12, 24, 29, 6, 45, 14, 42, 13, 20, 1, 49, 38, 2, 0, 33, 18, 15, 28, 35, 4, 22, 17, 27, 21, 3, 26, 31, 8]"
7,120,0.9,0.15,400,28.552184199972544,399,4325,"[14, 19, 34, 49, 30, 35, 10, 31, 28, 47, 9, 23, 18, 15, 7, 20, 6, 48, 4, 25, 38, 36, 21, 39, 44, 26, 17, 29, 22, 13, 42, 41, 0, 12, 33, 1, 37, 16, 32, 5, 3, 46, 45, 27, 24, 40, 43, 11, 8, 2]"
8,120,0.9,0.15,400,44.898131800000556,337,4316,"[42, 19, 16, 33, 0, 26, 39, 32, 37, 27, 4, 48, 5, 17, 3, 41, 8, 1, 46, 6, 30, 13, 34, 29, 24, 11, 47, 18, 36, 43, 15, 38, 25, 35, 7, 44, 20, 12, 21, 22, 28, 10, 9, 31, 23, 45, 40, 14, 2, 49]"
