semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,100,0.8,0.2,100,1.1244683000259101,92,1297,"[18, 5, 8, 7, 15, 6, 10, 14, 13, 16, 2, 0, 1, 12, 3, 4, 17, 11, 9, 19]"
1,100,0.7,0.2,100,0.9544713999493979,39,1297,"[2, 14, 16, 0, 13, 7, 4, 6, 10, 17, 12, 11, 8, 3, 18, 5, 1, 15, 9, 19]"
1,100,0.7,0.2,100,0.9428659999975935,39,1297,"[2, 14, 16, 0, 13, 7, 4, 6, 10, 17, 12, 11, 8, 3, 18, 5, 1, 15, 9, 19]"
