semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,200,0.9,0.15,500,373.9801440999727,46,1359,"[5, 9, 16, 6, 18, 14, 8, 4, 15, 19, 11, 7, 12, 17, 2, 3, 10, 0, 1, 13]"
2,200,0.9,0.15,500,355.8629922000109,141,1360,"[5, 18, 9, 6, 14, 16, 19, 2, 8, 11, 13, 17, 0, 1, 15, 10, 3, 7, 4, 12]"
3,200,0.9,0.15,500,349.22527600004105,16,1360,"[5, 18, 9, 6, 14, 16, 19, 13, 11, 12, 8, 2, 10, 15, 4, 0, 1, 3, 7, 17]"
4,200,0.9,0.15,500,350.46529869997175,41,1360,"[5, 18, 9, 6, 14, 12, 2, 17, 19, 0, 11, 13, 16, 3, 7, 15, 8, 10, 1, 4]"
5,200,0.9,0.15,500,354.22512259997893,176,1360,"[5, 18, 9, 6, 14, 11, 16, 8, 7, 13, 17, 3, 19, 0, 12, 2, 4, 15, 1, 10]"
