semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,150,0.9,0.1,700,612.8420134999906,481,1088,"[2, 3, 15, 13, 18, 19, 0, 17, 6, 11, 12, 10, 4, 9, 8, 16, 5, 7, 14, 1]"
2,150,0.9,0.2,700,714.4167103000218,161,1095,"[2, 3, 15, 13, 19, 18, 17, 7, 4, 9, 11, 12, 10, 0, 6, 16, 8, 5, 14, 1]"
3,150,0.9,0.1,700,628.9804298999952,121,1088,"[2, 3, 15, 13, 18, 6, 9, 19, 17, 11, 0, 8, 16, 4, 5, 10, 7, 12, 14, 1]"
4,150,0.9,0.2,700,498.0210373000009,81,1088,"[2, 3, 15, 13, 18, 6, 9, 19, 11, 0, 17, 4, 10, 12, 16, 5, 8, 7, 14, 1]"
5,150,0.9,0.1,700,505.57895620004274,341,1081,"[2, 3, 15, 13, 12, 19, 17, 18, 4, 0, 11, 9, 10, 6, 16, 8, 7, 5, 14, 1]"
6,150,0.9,0.2,700,525.8509243999724,111,1081,"[2, 3, 15, 13, 12, 19, 17, 11, 9, 4, 7, 6, 18, 8, 0, 16, 10, 5, 14, 1]"
7,150,0.9,0.1,700,547.1418681999785,302,1089,"[2, 3, 15, 13, 19, 17, 10, 6, 18, 9, 4, 0, 12, 11, 8, 16, 7, 5, 14, 1]"
8,150,0.9,0.2,700,541.8787355999812,41,1088,"[2, 3, 15, 13, 18, 0, 17, 19, 11, 9, 4, 10, 12, 6, 8, 16, 5, 7, 14, 1]"
9,150,0.9,0.1,700,503.085613000032,631,1081,"[2, 3, 15, 13, 12, 19, 10, 17, 6, 18, 0, 11, 4, 9, 16, 8, 5, 7, 14, 1]"
10,150,0.9,0.2,700,506.62614400003804,251,1088,"[2, 3, 15, 13, 18, 17, 0, 6, 19, 9, 11, 4, 8, 12, 16, 10, 7, 5, 14, 1]"
11,150,0.9,0.1,700,702.6734131000121,491,1089,"[2, 3, 15, 13, 19, 9, 17, 18, 11, 6, 8, 12, 4, 0, 16, 10, 5, 7, 14, 1]"
12,150,0.9,0.2,700,1045.5569041999988,532,1088,"[2, 3, 15, 13, 18, 6, 9, 19, 17, 11, 12, 4, 5, 8, 0, 16, 10, 7, 14, 1]"
13,150,0.9,0.1,700,693.7585546000046,191,1087,"[2, 3, 15, 13, 0, 14, 19, 17, 6, 11, 9, 4, 18, 8, 5, 10, 12, 7, 16, 1]"
14,150,0.9,0.2,700,535.4607281000353,231,1087,"[2, 3, 15, 13, 14, 17, 0, 19, 6, 11, 18, 9, 4, 12, 10, 8, 5, 7, 16, 1]"
15,150,0.9,0.1,700,521.8868584000156,411,1088,"[2, 3, 15, 13, 18, 6, 9, 19, 11, 17, 0, 10, 12, 4, 8, 16, 5, 7, 14, 1]"
16,150,0.9,0.2,700,523.7045731000253,231,1081,"[2, 3, 15, 13, 12, 18, 19, 11, 0, 17, 6, 4, 9, 16, 10, 8, 5, 7, 14, 1]"
17,150,0.9,0.1,700,541.0645375000313,681,1088,"[2, 3, 15, 13, 18, 6, 9, 17, 19, 4, 0, 11, 10, 7, 16, 5, 8, 12, 14, 1]"
19,150,0.9,0.1,700,1207.563892700011,61,1089,"[2, 3, 15, 13, 18, 0, 19, 17, 10, 12, 11, 6, 9, 4, 5, 14, 8, 7, 16, 1]"
20,150,0.9,0.2,700,1074.411882400047,341,1087,"[2, 3, 15, 13, 0, 14, 17, 19, 11, 10, 9, 18, 6, 12, 4, 5, 8, 7, 16, 1]"
